nodeName,nodeID,type,serialNum,nodeFrom,nodeTo,mgmtAddress,mgmtGateway,vpcDomain,vlPoolName,poolType,encapallocmode,encapstart,encapend,domainName,domainType,vmmProvider,aepName,vcenter,vcDataCenter,apic,apicNodeId,apicIp,aciSoftware,imageURL,imageName
Spine-103,103,spine,TEP-1-103,103,103,172.172.1.1/20,172.172.1.254,,CL-VMM,dynamic,static,1200,1205,,,,,,,apic1,1,198.18.133.200,n9000-15.2(2f),172.16.65.167/ZZ-Staging/ACI/ACI-5.2f/aci-n9000-dk9.15.2.2f.bin,aci-n9000-dk9.15.2.2f.bin
Spine-104,104,spine,TEP-1-104,104,104,172.172.1.2/20,172.172.1.254,,CL-VMM,dynamic,dynamic,1250,1299,Infrastructure,phys,NA,Infrastructure,,,apic2,2,198.18.133.201,apic-5.2(2f),172.16.65.167/ZZ-Staging/ACI/ACI-5.2f/aci-apic-dk9.5.2.2f.iso,aci-apic-dk9.5.2.2f.iso
Leaf-101,101,leaf,TEP-1-101,101,101,172.172.1.3/20,172.172.1.254,,CL-VMM,dynamic,static,1200,1205,,,,,,,apic3,3,198.18.133.202,,,
Leaf-102,102,leaf,TEP-1-102,102,102,172.172.1.4/20,172.172.1.254,,CL-VMM,dynamic,dynamic,1250,1299,CL-VMM,vmm,vmware,Infrastructure,198.18.133.30,dCloud-HX-DC-A,,,,,,
Leaf-101-Leaf-102,101,vpc,,101,102,,,101,,,,,,,,,,,,,,,,,
